channel_id,channel_name,subscribers,total_views,video_count
UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,464000000,109251576840,942
UCq-Fj5jknLsUf-MWSy4_brA,T-Series,309000000,328907558051,25280
UCbCmjCuTUZos6Inko4u57UQ,Cocomelon - Nursery Rhymes,200000000,216776545347,1886
UCpEhnqL0y41EpW2TvWAHD7Q,SET India,188000000,185544329990,165559
UCk8GzjMOrta8yxDcKfylJYw,âœ¿ Kids Diana Show,138000000,122201821819,1536
UC-lHJZR3Gqxm24_Vd_AJ5Yw,PewDiePie,110000000,29461251745,4656
UCJplp5SjeGSdVdwsfb9Q7lQ,Like Nastya,131000000,118707261858,1035
UCvlE5gTbOvjiolFlEm-c_Ow,Vlad and Niki,149000000,118217665672,988
UCFFbwnve3yF62-tVXkTyHqg,Zee Music Company,122000000,85359006436,15589
UCJ5v_MCY6GNUBTO8-D3XoAg,WWE,112000000,101505077694,90657
