video_id,title,published_date,view_count,like_count,comment_count,duration,tags,category_id,language
ooAwCOP67GQ,Do Pawnshops Scam You?,2023-06-03T16:59:57Z,430035222,16482694,25588,33.0,,24,en
c2ukL_zjFCk,Extreme Helmet Game,2025-05-28T16:00:19Z,187966271,3510975,7469,32.0,,24,en
nAiKLoCP-kU,"Reach the Money, Win $10,000",2025-02-14T18:15:00Z,498068384,7726921,9791,25.0,,24,en
8bTQMDM4qvY,"Spot The Fake Animal For $10,000",2024-07-19T16:00:00Z,618366085,17126720,29059,40.0,,24,en
V6In4tmd-w8,"$1 vs $25,000 VFX",2025-06-19T17:00:41Z,101205355,2421473,13258,23.0,,24,en
Tbn4cYCaZCk,"Drift This Car, Win $10,000",2025-04-16T17:00:15Z,497356536,6518419,10800,20.0,,24,en
8krJy31Diow,Holding Bigger And Bigger Dogs,2024-09-16T18:00:00Z,329474415,8081957,10417,17.0,,24,en
SWc8fI_9iqA,Ronaldo Teaches Me How To SIUU,2024-12-01T17:00:00Z,347317088,9329806,35620,15.0,,24,en
R_BmT1OJw98,Every YouTube Play Button I Have,2025-08-15T16:00:01Z,198805836,3087785,18132,15.0,,24,en
IemzxkkzI5s,I Tipped A Pizza Delivery Driver A Car,2023-10-12T17:30:03Z,669127226,26488590,34711,52.0,,24,en
CWbV3NItSdY,The World's Fastest Cleaners,2024-04-25T16:00:03Z,706570641,26337778,43303,35.0,,24,en
oiZvK6MY7tI,"Call Your Ex, Win $10,000",2025-10-07T16:00:00Z,89813991,2407679,8865,34.0,,24,en
c0v8OPItCOg,"$100,000,000 Bathroom",2023-10-17T17:00:00Z,359597282,12655357,23043,50.0,,24,en
JgJrQnDIRgg,"First to Answer the Phone, Wins $10,000",2025-10-17T16:00:00Z,56106659,1716466,8851,46.0,,24,en
mktYW177p6U,Guess the Animal,2026-01-06T17:00:02Z,198581975,3518159,13438,53.0,,24,en
TQHEJj68Jew,I Got Hunted By A Real Bounty Hunter,2021-04-24T20:00:00Z,235797822,4363652,119961,808.0,,24,en
HISfrcjiNPM,I Surprised 50 Make-A-Wish Kids With Disneyland,2025-11-21T19:40:01Z,31699996,813830,11247,29.0,,24,en
7IKab3HcfFk,I Survived 50 Hours In Antarctica,2022-12-24T20:59:59Z,251627453,5815253,142784,730.0,,24,en
yhB3BgJyGl8,7 Days Stranded At Sea,2023-08-05T16:00:01Z,409364025,8257817,126845,1085.0,,24,en
Hwybp38GnZw,I Built Willy Wonka's Chocolate Factory!,2022-06-04T20:00:02Z,368315313,6917504,155625,971.0,,24,en
Rj_vssRaZlQ,I Ate The World’s Largest Slice Of Pizza,2020-08-01T20:00:02Z,325416118,4880829,137251,483.0,,24,en
NDsO1LT_0lw,I Spent 100 Hours Inside The Pyramids!,2025-02-08T17:00:00Z,223743566,5337812,100557,1303.0,,24,en
h5NvTTOlOtI,Hydraulic Press Vs Lamborghini,2022-12-10T21:00:01Z,264665734,5787333,124243,625.0,,24,en
vp5sSqyZ5Go,I Filled My Brother’s House With Slime & Bought Him A New One,2020-10-10T20:00:31Z,258797620,4118094,115834,565.0,,24,en
kX3nB4PpJko,"Last To Take Hand Off Jet, Keeps It!",2022-11-12T21:00:00Z,244779787,4942078,100000,937.0,,24,en
iogcY_4xGjo,"$1 vs $1,000,000 Hotel Room!",2022-10-22T21:00:00Z,421983080,7479278,114112,941.0,,24,en
nM89Wl03Q4g,I Survived 50 Hours In A Maximum Security Prison,2021-06-26T20:00:02Z,294146670,4448852,98641,754.0,,24,en
3OFj6l2tQ9s,World's Most Dangerous Trap!,2023-10-07T16:00:00Z,336088400,6694573,149460,1174.0,,24,en
26QQE7EsnLA,MrBeast Lab Disaster!,2025-11-03T17:00:01Z,30095723,1193821,15706,67.0,,24,en
anFxsa5jXrE,"I Searched 100 Dumpsters, Here's What I Found",2019-10-12T20:10:01Z,232628769,3196522,57020,1029.0,,24,en
sF5LYGgKbUA,Every Minute One Person Is Eliminated,2025-01-25T17:00:01Z,155799600,3107043,75803,2086.0,,24,en
QJI0an6irrA,"30 Celebrities Fight For $1,000,000!",2026-01-07T20:00:09Z,75956244,2014548,88823,2518.0,,24,en
ywIcdSNJolo,Pass the Phone,2026-01-09T19:00:05Z,36647207,998266,8169,23.0,,24,en
7ESeQBeikKs,"Protect $500,000 Keep It!",2024-01-13T17:00:00Z,189203726,4787058,70236,934.0,,24,en
OAbP-V6fEVc,I Broke Into A House,2020-06-25T20:00:00Z,209274213,3960043,197557,842.0,,24,en
TOcGSwJBPMQ,I Spent 24 Hours Straight At Area 51,2019-08-02T21:00:01Z,194601043,3995466,99639,915.0,,24,en
Xj0Jtjg3lHQ,"$1 vs $500,000 Experiences!",2024-11-02T16:00:00Z,268579766,5095406,56185,1060.0,,24,en
WcwGleN38zE,"Extreme $100,000 Game of Tag!",2021-04-17T20:00:00Z,268829445,4002068,116282,999.0,,24,en
3ryID_SwU5E,"$1 vs $100,000,000 House!",2023-10-14T16:00:00Z,401327903,6388638,133993,1023.0,,24,en
Ooke4YZv8Ts,Surviving 24 Hours Straight In A Desert,2019-03-16T20:05:00Z,186806814,3405126,96478,844.0,,24,en
_qAJMXfL6o0,"Would You Rather Have $100,000 OR This Mystery Key?",2020-06-13T20:00:01Z,280664729,4240165,120965,1075.0,,24,en
tQ4m4zD7BBA,"Last To Fall Wins $1,000,000 (Part 1)",2019-11-14T21:00:31Z,169411312,3170381,56649,1017.0,,24,en
TDv56whosPQ,"Survive 100 Days In Prison, Win $500,000",2025-08-16T19:00:02Z,139567388,3002136,41826,2376.0,,24,en
bn0Kh9c4Zv4,7 Days Exploring An Underground City,2024-10-12T16:00:00Z,171764291,3709385,33929,1235.0,,24,en
YQDDm9HLkV4,I Adopted EVERY Dog In A Dog Shelter,2020-07-23T20:00:11Z,275967021,5005050,207198,964.0,,24,en
ktyJIj6i4Qw,"If You Can Carry $1,000,000 You Keep It!",2021-07-24T20:00:59Z,260733935,3927002,78641,607.0,,24,en
00NgUctWoLQ,"Extreme $1,000,000 Hide And Seek",2021-12-18T21:00:00Z,110301523,3653042,116646,729.0,,24,en
gs8qfL9PNac,"2,000 People Fight For $5,000,000",2024-12-19T17:00:00Z,192764657,4613809,50917,1485.0,,24,en
3-f9DEFsh4w,Watching Video Games Is A Waste Of Time????,2015-09-05T16:14:19Z,61859,2018,409,243.0,"Mr.Beast,mr,beast,watching,video,games,is,watse,of,time,is watching video games a waste of time,pewdiepie,gay",20,en
